승강기 관리현황,,,,,,,,
호선,역명,E/L,E/S,M/W,W/L,수직형리프트,합계,비고
8,강동구청,3,5,0,0,0,8,
8,몽촌토성,4,8,0,0,0,12,
8,잠실(8),3,5,0,0,0,8,
8,석촌,3,0,0,0,0,3,
8,송파,4,4,0,0,0,8,
8,가락시장(8),6,12,0,0,0,18,
8,문정,4,8,0,0,0,12,
8,장지,4,8,0,0,0,12,
8,복정(8),2,5,0,1,0,8,
8,남위례,3,7,0,0,0,10,
8,산성,4,13,0,0,0,17,
8,남한산성입구,2,4,0,0,0,6,
8,단대오거리,3,6,0,0,0,9,
8,신흥,2,0,0,0,0,2,
8,수진,3,0,0,0,0,3,
8,모란(8),3,2,0,0,0,5,
