"자치구별(1)","자치구별(2)",구분별(1),구분별(2),구분별(3),2019
"서울시","강남구",종사자수 (명),소상공인,소계,97418
"서울시","강남구",종사자수 (명),중소기업,소계,491232
"서울시","강남구",종사자수 (명),중소기업,소기업,234352
"서울시","강남구",종사자수 (명),중소기업,중기업,256880
"서울시","강남구",종사자수 (명),중소기업범위초과,소계,123433
"서울시","송파구",사업체수 (개),소계,소계,45946
"서울시","송파구",사업체수 (개),소상공인,소계,36445
"서울시","송파구",사업체수 (개),중소기업,소계,45864
"서울시","송파구",사업체수 (개),중소기업,소기업,43113
"서울시","송파구",사업체수 (개),중소기업,중기업,2751
"서울시","송파구",사업체수 (개),중소기업범위초과,소계,82
"서울시","송파구",종사자수 (명),소계,소계,284825
"서울시","송파구",종사자수 (명),소상공인,소계,71105
"서울시","송파구",종사자수 (명),중소기업,소계,241078
"서울시","송파구",종사자수 (명),중소기업,소기업,137864
"서울시","송파구",종사자수 (명),중소기업,중기업,103214
"서울시","송파구",종사자수 (명),중소기업범위초과,소계,43747
"서울시","강동구",사업체수 (개),소계,소계,27540
"서울시","강동구",사업체수 (개),소상공인,소계,23754
"서울시","강동구",사업체수 (개),중소기업,소계,27515
"서울시","강동구",사업체수 (개),중소기업,소기업,26783
"서울시","강동구",사업체수 (개),중소기업,중기업,732
"서울시","강동구",사업체수 (개),중소기업범위초과,소계,25
"서울시","강동구",종사자수 (명),소계,소계,114762
"서울시","강동구",종사자수 (명),소상공인,소계,43542
"서울시","강동구",종사자수 (명),중소기업,소계,97813
"서울시","강동구",종사자수 (명),중소기업,소기업,73647
"서울시","강동구",종사자수 (명),중소기업,중기업,24166
"서울시","강동구",종사자수 (명),중소기업범위초과,소계,16949
